animeID,title,mean_api,num_episodes_api,genres_api,synopsis_api
8124,Doraemon the Movie 2020: Nobita's New Dinosaur,7.6,1.0,"Adventure, Comedy, Kids, Sci-Fi, Shounen","Nobita and the gang travel 66 million years into the past to bring a pair of adorable dinosaur twins back to where they belong.

(Source: Netflix)"
8125,Doraemon the Movie 2019: Chronicle of the Moon Exploration,7.41,1.0,"Adventure, Fantasy, Kids, Sci-Fi, Space","One morning, Nobita learns about the mysterious happenings on the Moon, where he tells his classmates that it was the Moon Rabbit, but nobody believes him. He tries to prove by imitating the rabbits by making ricecakes and hits his teacher in the process, where he gets punished. When Nobita tells Doraemon about this, who relucantly takes out ""Divergent View Badge"" gadget and creates an atmosphere on the Moon. Using the animal clay, they creates Moonbit and returns to their home. Later, Nobita's mother tells him to bring Susuki grass for Moon Viewing Ceremony, where he sees a boy and calls him, but the boy suddenly disappeares. The next day, a new student named Luca arrives, and Nobita gets surprised to see that it is the same boy he had seen yesterday.

(Source: Wikipedia) "
8126,Don't Give Up!,7.12,24.0,"Comedy, Romance, Sci-Fi","Men Ke, a social animal working as an office worker, was so bored in the first half of her life that she doubted her life, but in the second half of her life, she will die of boredom. How can the Earth heroine, who faces the threat of death every day but continues to go to work, and the alien hero, who is enthusiastic and wants to save her but is not very good at it, overcome boredom and live with a smile! 

(Source: Bilibili, Google translated)"
8127,Platonic Chain,5.75,24.0,"Sci-Fi, Slice of Life","In the near future, technology has made a few leaps and bounds, and videophones and constant wireless internet access are available to everyone. However, it would seen that the government has been careless and a skilled hacker was able to break into the national information archive. Using the data held there he creates the Platonic Chain website for people to discover information about themselves and their friends. Words start to spread quickly that there is a site that enables you to look up anything. Coincidentally, three young girls, Hitomi, Rika, and Kanae, are able to access the site.

(Source: ANN)"
8128,Fog Hill of Five Elements,7.86,3.0,"Action, Fantasy, Historical, Martial Arts","A legend tells that a long time ago, monsters could give the ability to certain elected officials to master the five elements. But for that, you have to go through the dangerous foggy mountains...

We follow the adventures of one of these elected officials.

(Source: Nautiljon)"
8129,Dead Dead Demons Dededede Destruction,7.54,2.0,"Drama, School, Sci-Fi, Seinen","When you look up at the sky, what do you see? A blue sky? Freedom? A hopeful future? The people of Tokyo see none of these. Instead, an ominous alien mothership looms overhead, engulfing the city skyscape.

Three years ago, they came. The arrival of the ""Invaders"" sparked the greatest war humanity had ever faced—one that threatened to end the world. The Japanese government scrambled to fight the Invaders. Weapons were mass-produced, sparking controversy and pacifist movements.

That day, everything changed. And yet, nothing has changed. Kadode Koyama and Ouran Nakagawa live their final days like they always have: going to school, playing with friends, and doing what any carefree high school girl would do.

As they grow up, they come to learn what it truly means to be an adult, in a world where adults seem to be demons who only deceive and destroy. They come to learn the real threat to humanity is not the Invaders, but humanity itself.

[Written by MAL Rewrite]"
8130,Sakuna: Of Rice and Ruin,6.74,13.0,"Action, Fantasy, Mythology","Spoiled harvest goddess Sakuna finds herself banished from her opulent celestial home to an island overrun with demons. In the untamed wilderness, she must rediscover her birthright as the daughter of a warrior god and harvest goddess by weathering the elements, fighting monsters, and cultivating rice, the source of her power. By her side in this forbidding place is her guardian Tama and a group of outcast humans. Together, these unlikely companions must join hands to tame both the soil and the demons of Hinoe Island. 

(Source: Steam)"
8131,Mayonaka Punch,7.35,12.0,"Comedy, Supernatural, Vampire","Masaki's career on NewTube ends abruptly when the Harikiri Sisters decide to kick her out of their group during a livestream. With her bad reputation, Masaki has a slim chance of returning to popularity with a solo channel and she is plagued by comments of hate.

Masaki soon meets Live, a vampire who just woke up from her slumber in which she dreamed of Masaki and developed an obsession with her. Believing this discovery will be the next internet sensation, Masaki forms a pact with Live: in exchange for Masaki's blood, Live will help her reach the milestone of a million subscribers.

Now, with the other vampires in Live's house on board with Masaki's ambitious plan, she and Live work together to film videos and restore her to career glory.

[Written by MAL Rewrite]"
8132,Ramen Akaneko,7.39,12.0,"Anthropomorphic, Comedy, Shounen, Workplace","Meet Tamako, who's found her way into an interview at a ramen shop run solely by cats. When the feline manager asks if she likes cats, Tamako admits that she's actually more of a dog person...only to be hired on the spot! But her job description isn't quite what she expects — rather than serving ramen, she's now a dedicated cat caretaker...?!

(Source: MANGA Plus)"
8133,KamiErabi GOD.app,6.2,12.0,"Action, High Stakes Game, Suspense","After the mysterious disappearance of one of its participants, the battle meant to name a successor to God is brutally interrupted, leaving behind a trail of destruction and shaking the world. Twelve years later, while the former contestants in the divine competition struggle to fit in society after they were turned into semi-permanents—beings unable to age—Lall refuses to let go of her brother, who has been forgotten by everyone.

Determined to resurrect her brother—the only one she sees fit to sit on the heavenly throne—Lall steals her his cellphone from a cult run by a past competitor, which accidentally restarts the competition. Helped by her classmate Eko Sasaki, Lall will show no mercy to prevail against her enemies in her efforts to finally see her brother again.

[Written by MAL Rewrite]"
